Fractured,Non-Fractured
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_001.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (1).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_002.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (10).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_003.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (100).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_004.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (1000).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_005.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (1001).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_006.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (1002).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_007.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (1003).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_008.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (1004).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_009.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (1005).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_010.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (1006).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_011.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (1007).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_012.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (1008).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_013.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (1009).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_014.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (101).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_015.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (1010).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_016.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (1011).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_017.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (1012).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_018.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (1013).jpg
C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Fractured\Fractured_019.jpg,C:\Users\rnkha\OneDrive\Desktop\Gajedi\bone_fracture\Augmented Dataset\Non-Fractured\Non-Fractured (1014).jpg
